DATE,CPI,INFLATION,UNRATE,REALRATE,FEDFUNDS,LFPART
1951-05-01,26.0,9.3,3.0,,,59.4
1951-06-01,25.9,8.6,3.2,,,59.0
1951-07-01,25.9,7.6,3.1,,,59.4
1951-08-01,25.9,6.9,3.1,,,59.2
1951-09-01,26.0,6.9,3.3,,,59.1
1951-10-01,26.2,6.8,3.5,,,59.4
1951-11-01,26.3,7.0,3.5,,,59.2
1951-12-01,26.5,6.0,3.1,,,59.6
1952-01-01,26.4,4.2,3.2,,,59.5
1952-02-01,26.4,2.2,3.1,,,59.5
1952-03-01,26.4,2.0,2.9,,,58.9
1952-04-01,26.5,2.1,2.9,,,58.8
1952-05-01,26.5,1.8,3.0,,,59.1
1952-06-01,26.5,2.3,3.0,,,59.1
1952-07-01,26.7,3.0,3.2,,,58.9
1952-08-01,26.7,3.2,3.4,,,58.7
1952-09-01,26.6,2.3,3.1,,,59.2
1952-10-01,26.7,2.0,3.0,,,58.7
1952-11-01,26.7,1.4,2.8,,,59.1
1952-12-01,26.7,0.9,2.7,,,59.2
1953-01-01,26.6,0.7,2.9,,,59.5
1953-02-01,26.6,0.7,2.6,,,59.5
1953-03-01,26.6,0.9,2.6,,,59.6
1953-04-01,26.7,0.9,2.7,,,59.1
1953-05-01,26.7,0.9,2.5,,,58.6
1953-06-01,26.8,0.9,2.5,,,58.9
1953-07-01,26.8,0.4,2.6,,,58.9
1953-08-01,26.8,0.6,2.7,,,58.6
1953-09-01,26.9,1.0,2.9,,,58.5
1953-10-01,27.0,1.0,3.1,,,58.5
1953-11-01,26.8,0.6,3.5,,,58.6
1953-12-01,26.9,0.6,4.5,,,58.3
1954-01-01,26.9,1.1,4.9,,,58.6
1954-02-01,27.0,1.5,5.2,,,59.3
1954-03-01,26.9,1.1,5.7,,,59.1
1954-04-01,26.9,0.6,5.9,,,59.2
1954-05-01,26.9,0.9,5.9,,,58.9
1954-06-01,26.9,0.6,5.6,,,58.5
1954-07-01,26.9,0.3,5.8,,0.8,58.4
1954-08-01,26.8,0.0,6.0,,1.2,58.7
1954-09-01,26.8,-0.3,6.1,,1.1,59.2
1954-10-01,26.7,-0.9,5.7,,0.8,58.8
1954-11-01,26.8,-0.3,5.3,,0.8,58.6
1954-12-01,26.8,-0.4,5.0,,1.3,58.1
1955-01-01,26.8,-0.6,4.9,,1.4,58.6
1955-02-01,26.8,-0.6,4.7,,1.3,58.4
1955-03-01,26.8,-0.5,4.6,,1.4,58.5
1955-04-01,26.8,-0.3,4.7,,1.4,59.0
1955-05-01,26.8,-0.6,4.3,,1.4,58.8
1955-06-01,26.7,-0.9,4.2,,1.6,58.8
1955-07-01,26.8,-0.4,4.0,,1.7,59.3
1955-08-01,26.7,-0.5,4.2,,2.0,59.7
1955-09-01,26.8,0.1,4.1,,2.2,59.7
1955-10-01,26.8,0.4,4.3,,2.2,59.8
1955-11-01,26.9,0.4,4.2,,2.4,59.9
1955-12-01,26.9,0.4,4.2,,2.5,60.2
1956-01-01,26.8,0.2,4.0,,2.4,60.2
1956-02-01,26.9,0.1,3.9,,2.5,59.9
1956-03-01,26.9,0.4,4.2,,2.5,59.8
1956-04-01,26.9,0.5,4.0,,2.6,59.9
1956-05-01,27.0,1.0,4.3,,2.8,60.2
1956-06-01,27.2,1.6,4.3,,2.7,60.1
1956-07-01,27.3,2.0,4.4,,2.8,60.1
1956-08-01,27.3,2.2,4.1,,2.7,60.0
1956-09-01,27.4,1.9,3.9,,3.0,60.0
1956-10-01,27.5,2.6,3.9,,3.0,59.8
1956-11-01,27.5,2.3,4.3,,2.9,59.8
1956-12-01,27.6,2.8,4.2,,2.9,59.8
1957-01-01,27.7,3.1,4.2,,2.8,59.5
1957-02-01,27.8,3.5,3.9,,3.0,59.9
1957-03-01,27.9,3.6,3.7,,3.0,59.8
1957-04-01,27.9,3.7,3.9,,3.0,59.5
1957-05-01,28.0,3.6,4.1,,3.0,59.5
1957-06-01,28.1,3.5,4.3,,3.0,59.8
1957-07-01,28.2,3.3,4.2,,3.0,60.0
1957-08-01,28.3,3.6,4.1,,3.2,59.3
1957-09-01,28.3,3.5,4.4,,3.5,59.6
1957-10-01,28.3,2.9,4.5,,3.5,59.5
1957-11-01,28.4,3.3,5.1,,3.3,59.5
1957-12-01,28.5,3.0,5.2,,3.0,59.6
1958-01-01,28.6,3.5,5.8,,2.7,59.3
1958-02-01,28.7,3.2,6.4,,1.7,59.3
1958-03-01,28.9,3.6,6.7,,1.2,59.3
1958-04-01,28.9,3.6,7.4,,1.3,59.6
1958-05-01,28.9,3.4,7.4,,0.6,59.8
1958-06-01,28.9,2.8,7.3,,0.9,59.5
1958-07-01,28.9,2.5,7.5,,0.7,59.6
1958-08-01,28.9,2.3,7.4,,1.5,59.8
1958-09-01,28.9,2.1,7.1,,1.8,59.7
1958-10-01,28.9,2.1,6.7,,1.8,59.6
1958-11-01,29.0,1.9,6.2,,2.3,59.2
1958-12-01,29.0,1.8,6.2,,2.4,59.2
1959-01-01,29.0,1.3,6.0,,2.5,59.3
1959-02-01,29.0,1.0,5.9,,2.4,59.0
1959-03-01,29.0,0.3,5.6,,2.8,59.3
1959-04-01,29.0,0.1,5.2,,3.0,59.4
1959-05-01,29.0,0.3,5.1,,2.9,59.2
1959-06-01,29.1,0.7,5.0,,3.4,59.2
1959-07-01,29.2,0.9,5.1,,3.5,59.4
1959-08-01,29.2,0.8,5.2,,3.5,59.2
1959-09-01,29.2,1.2,5.5,,3.8,59.3
1959-10-01,29.4,1.5,5.7,,4.0,59.4
1959-11-01,29.4,1.4,5.8,,4.0,59.1
1959-12-01,29.4,1.5,5.3,,4.0,59.5
1960-01-01,29.4,1.2,5.2,,4.0,59.1
1960-02-01,29.4,1.4,4.8,,4.0,59.1
1960-03-01,29.4,1.5,5.4,,3.8,58.5
1960-04-01,29.5,1.9,5.2,,3.9,59.5
1960-05-01,29.6,1.8,5.1,,3.8,59.5
1960-06-01,29.6,1.7,5.4,,3.3,59.7
1960-07-01,29.6,1.4,5.5,,3.2,59.5
1960-08-01,29.6,1.5,5.6,,3.0,59.5
1960-09-01,29.6,1.2,5.5,,2.6,59.7
1960-10-01,29.8,1.4,6.1,,2.5,59.4
1960-11-01,29.8,1.5,6.1,,2.4,59.8
1960-12-01,29.8,1.4,6.6,,2.0,59.7
1961-01-01,29.8,1.6,6.6,,1.4,59.6
1961-02-01,29.8,1.5,6.9,,2.5,59.6
1961-03-01,29.8,1.5,6.9,,2.0,59.7
1961-04-01,29.8,0.9,7.0,,1.5,59.3
1961-05-01,29.8,0.9,7.1,,2.0,59.4
1961-06-01,29.8,0.8,6.9,,1.7,59.7
1961-07-01,29.9,1.3,7.0,,1.2,59.3
1961-08-01,29.9,1.1,6.6,,2.0,59.3
1961-09-01,30.0,1.2,6.7,,1.9,59.0
1961-10-01,30.0,0.8,6.5,,2.3,59.1
1961-11-01,30.0,0.7,6.1,,2.6,59.1
1961-12-01,30.0,0.7,6.0,,2.3,58.8
1962-01-01,30.0,0.7,5.8,,2.2,58.8
1962-02-01,30.1,0.9,5.5,,2.4,59.0
1962-03-01,30.2,1.1,5.6,,2.8,58.9
1962-04-01,30.2,1.3,5.6,,2.8,58.7
1962-05-01,30.2,1.3,5.5,,2.4,58.9
1962-06-01,30.2,1.2,5.5,,2.7,58.8
1962-07-01,30.2,1.0,5.4,,2.7,58.5
1962-08-01,30.3,1.1,5.7,,2.9,59.0
1962-09-01,30.4,1.5,5.6,,2.9,59.0
1962-10-01,30.4,1.3,5.4,,2.9,58.7
1962-11-01,30.4,1.3,5.7,,2.9,58.5
1962-12-01,30.4,1.2,5.5,,2.9,58.4
1963-01-01,30.4,1.3,5.7,,2.9,58.6
1963-02-01,30.5,1.2,5.9,,3.0,58.6
1963-03-01,30.5,1.1,5.7,,3.0,58.6
1963-04-01,30.5,0.9,5.7,,2.9,58.8
1963-05-01,30.5,0.9,5.9,,3.0,58.8
1963-06-01,30.6,1.3,5.6,,3.0,58.5
1963-07-01,30.7,1.6,5.6,,3.0,58.7
1963-08-01,30.8,1.6,5.4,,3.5,58.5
1963-09-01,30.7,1.0,5.5,,3.5,58.7
1963-10-01,30.8,1.2,5.5,,3.5,58.8
1963-11-01,30.8,1.3,5.7,,3.5,58.8
1963-12-01,30.9,1.6,5.5,,3.4,58.5
1964-01-01,30.9,1.6,5.6,,3.5,58.6
1964-02-01,30.9,1.4,5.4,,3.5,58.8
1964-03-01,30.9,1.4,5.4,,3.4,58.7
1964-04-01,31.0,1.5,5.3,,3.5,59.1
1964-05-01,31.0,1.5,5.1,,3.5,59.1
1964-06-01,31.0,1.3,5.2,,3.5,58.7
1964-07-01,31.0,1.1,4.9,,3.4,58.6
1964-08-01,31.0,1.0,5.0,,3.5,58.6
1964-09-01,31.1,1.2,5.1,,3.4,58.7
1964-10-01,31.1,1.2,5.1,,3.4,58.6
1964-11-01,31.2,1.4,4.8,,3.5,58.5
1964-12-01,31.2,1.2,5.0,,3.8,58.6
1965-01-01,31.3,1.1,4.9,,3.9,58.6
1965-02-01,31.3,1.2,5.1,,4.0,58.7
1965-03-01,31.3,1.2,4.7,,4.0,58.7
1965-04-01,31.4,1.4,4.8,,4.1,58.8
1965-05-01,31.5,1.6,4.6,,4.1,59.0
1965-06-01,31.6,1.9,4.6,,4.0,58.8
1965-07-01,31.6,1.8,4.4,,4.1,59.1
1965-08-01,31.6,1.6,4.4,,4.1,58.9
1965-09-01,31.6,1.7,4.3,,4.0,58.7
1965-10-01,31.6,1.7,4.2,,4.1,58.9
1965-11-01,31.8,1.7,4.1,,4.1,58.8
1965-12-01,31.8,1.9,4.0,,4.3,59.0
1966-01-01,31.9,1.9,4.0,,4.4,59.0
1966-02-01,32.1,2.6,3.8,,4.6,58.8
1966-03-01,32.2,2.8,3.8,,4.7,58.8
1966-04-01,32.3,2.9,3.8,,4.7,59.0
1966-05-01,32.4,2.8,3.9,,4.9,59.0
1966-06-01,32.4,2.4,3.8,,5.2,59.1
1966-07-01,32.4,2.8,3.8,,5.3,59.1
1966-08-01,32.6,3.5,3.8,,5.5,59.3
1966-09-01,32.8,3.6,3.7,,5.4,59.3
1966-10-01,32.8,3.8,3.7,,5.5,59.3
1966-11-01,32.9,3.6,3.6,,5.8,59.6
1966-12-01,32.9,3.4,3.8,,5.4,59.5
1967-01-01,32.9,3.2,3.9,,4.9,59.5
1967-02-01,33.0,2.9,3.8,,5.0,59.3
1967-03-01,33.0,2.5,3.8,,4.5,59.1
1967-04-01,33.1,2.5,3.8,,4.0,59.4
1967-05-01,33.1,2.3,3.8,,3.9,59.3
1967-06-01,33.3,2.8,3.9,,4.0,59.6
1967-07-01,33.4,2.9,3.8,,3.8,59.6
1967-08-01,33.5,2.6,3.8,,3.9,59.7
1967-09-01,33.6,2.6,3.8,,4.0,59.7
1967-10-01,33.7,2.6,4.0,,3.9,59.9
1967-11-01,33.9,3.1,3.9,,4.1,59.8
1967-12-01,34.0,3.3,3.8,,4.5,59.9
1968-01-01,34.1,3.6,3.7,,4.6,59.2
1968-02-01,34.2,3.6,3.8,,4.7,59.6
1968-03-01,34.3,3.9,3.7,,5.0,59.6
1968-04-01,34.4,3.9,3.5,,5.8,59.5
1968-05-01,34.5,4.2,3.5,,6.1,59.9
1968-06-01,34.7,4.2,3.7,,6.1,60.0
1968-07-01,34.9,4.5,3.7,,6.0,59.8
1968-08-01,35.0,4.5,3.5,,6.0,59.6
1968-09-01,35.1,4.5,3.4,,5.8,59.5
1968-10-01,35.3,4.7,3.4,,5.9,59.5
1968-11-01,35.4,4.4,3.4,,5.8,59.6
1968-12-01,35.6,4.7,3.4,,6.0,59.7
1969-01-01,35.7,4.7,3.4,,6.3,59.6
1969-02-01,35.8,4.7,3.4,,6.6,60.0
1969-03-01,36.1,5.2,3.4,,6.8,59.9
1969-04-01,36.3,5.5,3.4,,7.4,60.0
1969-05-01,36.4,5.5,3.4,,8.7,59.8
1969-06-01,36.6,5.5,3.5,,8.9,60.1
1969-07-01,36.8,5.4,3.5,,8.6,60.1
1969-08-01,36.9,5.4,3.5,,9.2,60.3
1969-09-01,37.1,5.7,3.7,,9.2,60.3
1969-10-01,37.3,5.7,3.7,,9.0,60.4
1969-11-01,37.5,5.9,3.5,,8.8,60.2
1969-12-01,37.7,5.9,3.5,,9.0,60.2
1970-01-01,37.9,6.2,3.9,,9.0,60.4
1970-02-01,38.1,6.4,4.2,,9.0,60.4
1970-03-01,38.3,6.1,4.4,,7.8,60.6
1970-04-01,38.5,6.1,4.6,,8.1,60.6
1970-05-01,38.6,6.0,4.8,,8.0,60.3
1970-06-01,38.8,6.0,4.9,,7.6,60.2
1970-07-01,38.9,5.7,5.0,,7.2,60.4
1970-08-01,39.0,5.7,5.1,,6.6,60.3
1970-09-01,39.2,5.7,5.4,,6.3,60.2
1970-10-01,39.4,5.6,5.5,,6.2,60.4
1970-11-01,39.6,5.6,5.9,,5.6,60.4
1970-12-01,39.8,5.6,6.1,,4.9,60.4
1971-01-01,39.9,5.3,5.9,,4.1,60.4
1971-02-01,39.9,4.7,5.9,,3.7,60.1
1971-03-01,40.0,4.4,6.0,,3.7,60.0
1971-04-01,40.1,4.2,5.9,,4.2,60.1
1971-05-01,40.3,4.4,5.9,,4.6,60.2
1971-06-01,40.5,4.4,5.9,,4.9,59.8
1971-07-01,40.6,4.4,6.0,,5.3,60.1
1971-08-01,40.7,4.4,6.1,,5.6,60.2
1971-09-01,40.8,4.1,6.0,,5.6,60.1
1971-10-01,40.9,3.8,5.8,,5.2,60.1
1971-11-01,41.0,3.5,6.0,,4.9,60.4
1971-12-01,41.1,3.3,6.0,,4.1,60.4
1972-01-01,41.2,3.3,5.8,,3.5,60.2
1972-02-01,41.4,3.8,5.7,,3.3,60.2
1972-03-01,41.4,3.5,5.8,,3.8,60.5
1972-04-01,41.5,3.5,5.7,,4.2,60.4
1972-05-01,41.6,3.2,5.7,,4.3,60.4
1972-06-01,41.7,3.0,5.7,,4.5,60.4
1972-07-01,41.8,3.0,5.6,,4.6,60.4
1972-08-01,41.9,2.9,5.6,,4.8,60.6
1972-09-01,42.1,3.2,5.5,,4.9,60.4
1972-10-01,42.2,3.2,5.6,,5.0,60.3
1972-11-01,42.4,3.4,5.3,,5.1,60.3
1972-12-01,42.5,3.4,5.2,,5.3,60.5
1973-01-01,42.7,3.6,4.9,,5.9,60.0
1973-02-01,43.0,3.9,5.0,,6.6,60.5
1973-03-01,43.4,4.8,4.9,,7.1,60.8
1973-04-01,43.7,5.3,5.0,,7.1,60.8
1973-05-01,43.9,5.5,4.9,,7.8,60.6
1973-06-01,44.2,6.0,4.9,,8.5,60.9
1973-07-01,44.2,5.7,4.8,,10.4,60.9
1973-08-01,45.0,7.4,4.8,,10.5,60.7
1973-09-01,45.2,7.4,4.8,,10.8,60.8
1973-10-01,45.6,8.1,4.6,,10.0,60.9
1973-11-01,45.9,8.3,4.8,,10.0,61.2
1973-12-01,46.3,8.9,4.9,,10.0,61.2
1974-01-01,46.8,9.6,5.1,,9.6,61.3
1974-02-01,47.3,10.0,5.2,,9.0,61.4
1974-03-01,47.8,10.1,5.1,,9.4,61.3
1974-04-01,48.1,10.1,5.1,,10.5,61.1
1974-05-01,48.6,10.7,5.1,,11.3,61.2
1974-06-01,49.0,10.9,5.4,,11.9,61.2
1974-07-01,49.3,11.5,5.5,,12.9,61.4
1974-08-01,49.9,10.9,5.5,,12.0,61.2
1974-09-01,50.6,11.9,5.9,,11.3,61.4
1974-10-01,51.0,11.8,6.0,,10.1,61.3
1974-11-01,51.5,12.2,6.6,,9.4,61.3
1974-12-01,51.9,12.1,7.2,,8.5,61.2
1975-01-01,52.3,11.8,8.1,,7.1,61.4
1975-02-01,52.6,11.2,8.1,,6.2,61.0
1975-03-01,52.8,10.5,8.6,,5.5,61.2
1975-04-01,53.0,10.2,8.8,,5.5,61.3
1975-05-01,53.1,9.3,9.0,,5.2,61.5
1975-06-01,53.5,9.2,8.8,,5.6,61.2
1975-07-01,54.0,9.5,8.6,,6.1,61.3
1975-08-01,54.2,8.6,8.4,,6.1,61.3
1975-09-01,54.6,7.9,8.4,,6.2,61.2
1975-10-01,54.9,7.6,8.4,,5.8,61.2
1975-11-01,55.3,7.4,8.3,,5.2,61.1
1975-12-01,55.6,7.1,8.2,,5.2,61.1
1976-01-01,55.8,6.7,7.9,,4.9,61.3
1976-02-01,55.9,6.3,7.7,,4.8,61.3
1976-03-01,56.0,6.1,7.6,,4.8,61.3
1976-04-01,56.1,5.8,7.7,,4.8,61.6
1976-05-01,56.4,6.2,7.4,,5.3,61.5
1976-06-01,56.7,6.0,7.6,,5.5,61.5
1976-07-01,57.0,5.6,7.8,,5.3,61.8
1976-08-01,57.3,5.7,7.8,,5.3,61.8
1976-09-01,57.6,5.5,7.6,,5.2,61.6
1976-10-01,57.9,5.5,7.7,,5.0,61.6
1976-11-01,58.1,5.1,7.8,,5.0,61.9
1976-12-01,58.4,5.0,7.8,,4.6,61.8
1977-01-01,58.7,5.2,7.5,,4.6,61.6
1977-02-01,59.3,6.1,7.6,,4.7,61.9
1977-03-01,59.6,6.4,7.4,,4.7,62.0
1977-04-01,60.0,7.0,7.2,,4.7,62.1
1977-05-01,60.2,6.7,7.0,,5.4,62.2
1977-06-01,60.5,6.7,7.2,,5.4,62.4
1977-07-01,60.8,6.7,6.9,,5.4,62.1
1977-08-01,61.1,6.6,7.0,,5.9,62.3
1977-09-01,61.3,6.4,6.8,,6.1,62.3
1977-10-01,61.6,6.4,6.8,,6.5,62.4
1977-11-01,62.0,6.7,6.8,,6.5,62.8
1977-12-01,62.3,6.7,6.4,,6.6,62.7
1978-01-01,62.7,6.8,6.4,,6.7,62.8
1978-02-01,63.0,6.2,6.3,,6.8,62.7
1978-03-01,63.4,6.4,6.3,,6.8,62.8
1978-04-01,63.9,6.5,6.1,,6.9,63.0
1978-05-01,64.5,7.1,6.0,,7.4,63.1
1978-06-01,65.0,7.4,5.9,,7.6,63.3
1978-07-01,65.5,7.7,6.2,,7.8,63.2
1978-08-01,65.9,7.9,5.9,,8.0,63.2
1978-09-01,66.5,8.5,6.0,,8.4,63.3
1978-10-01,67.1,8.9,5.8,,9.0,63.3
1978-11-01,67.5,8.9,5.9,,9.8,63.5
1978-12-01,67.9,9.0,6.0,,10.0,63.6
1979-01-01,68.5,9.3,5.9,,10.1,63.6
1979-02-01,69.2,9.8,5.9,,10.1,63.8
1979-03-01,69.9,10.3,5.8,,10.1,63.8
1979-04-01,70.6,10.5,5.8,,10.0,63.5
1979-05-01,71.4,10.7,5.6,,10.2,63.3
1979-06-01,72.2,11.1,5.7,,10.3,63.5
1979-07-01,73.0,11.5,5.7,,10.5,63.6
1979-08-01,73.7,11.8,6.0,,10.9,63.6
1979-09-01,74.4,11.9,5.9,,11.4,63.8
1979-10-01,75.2,12.1,6.0,,13.8,63.7
1979-11-01,76.0,12.6,5.9,,13.2,63.7
1979-12-01,76.9,13.3,6.0,,13.8,63.9
1980-01-01,78.0,13.9,6.3,,13.8,64.0
1980-02-01,79.0,14.2,6.3,,14.1,64.0
1980-03-01,80.1,14.6,6.3,,17.2,63.7
1980-04-01,80.9,14.6,6.9,,17.6,63.8
1980-05-01,81.7,14.4,7.5,,11.0,63.9
1980-06-01,82.5,14.3,7.6,,9.5,63.7
1980-07-01,82.6,13.2,7.8,,9.0,63.8
1980-08-01,83.2,12.9,7.7,,9.6,63.7
1980-09-01,83.9,12.8,7.5,,10.9,63.6
1980-10-01,84.7,12.6,7.5,,12.8,63.7
1980-11-01,85.6,12.6,7.5,,15.8,63.8
1980-12-01,86.4,12.4,7.2,,18.9,63.6
1981-01-01,87.2,11.8,7.5,,19.1,63.9
1981-02-01,88.0,11.4,7.4,,15.9,63.9
1981-03-01,88.6,10.6,7.4,,14.7,64.1
1981-04-01,89.1,10.1,7.2,,15.7,64.2
1981-05-01,89.7,9.8,7.5,,18.5,64.3
1981-06-01,90.5,9.7,7.5,,19.1,63.7
1981-07-01,91.5,10.8,7.2,,19.0,63.8
1981-08-01,92.2,10.8,7.4,,17.8,63.8
1981-09-01,93.1,11.0,7.6,,15.9,63.5
1981-10-01,93.4,10.3,7.9,,15.1,63.8
1981-11-01,93.8,9.6,8.3,,13.3,63.9
1981-12-01,94.1,8.9,8.5,,12.4,63.6
1982-01-01,94.4,8.3,8.6,4.3,13.2,63.7
1982-02-01,94.7,7.6,8.9,6.7,14.8,63.8
1982-03-01,94.7,6.9,9.0,7.7,14.7,63.8
1982-04-01,95.0,6.6,9.3,8.2,14.9,63.9
1982-05-01,95.9,6.9,9.4,8.3,14.4,64.2
1982-06-01,97.0,7.2,9.6,9.3,14.2,63.9
1982-07-01,97.5,6.6,9.8,7.5,12.6,64.0
1982-08-01,97.7,6.0,9.8,5.7,10.1,64.1
1982-09-01,97.7,4.9,10.1,3.3,10.3,64.1
1982-10-01,98.1,5.0,10.4,4.6,9.7,64.1
1982-11-01,98.0,4.5,10.8,5.8,9.2,64.2
1982-12-01,97.7,3.8,10.8,5.3,9.0,64.1
1983-01-01,97.9,3.7,10.4,4.7,8.7,63.9
1983-02-01,98.0,3.5,10.4,4.9,8.5,63.8
1983-03-01,98.1,3.6,10.3,5.3,8.8,63.7
1983-04-01,98.8,4.0,10.2,5.1,8.8,63.8
1983-05-01,99.2,3.4,10.1,5.3,8.6,63.7
1983-06-01,99.4,2.5,10.1,6.0,9.0,64.3
1983-07-01,99.8,2.4,9.4,4.7,9.4,64.1
1983-08-01,100.1,2.5,9.5,5.7,9.6,64.3
1983-09-01,100.4,2.8,9.2,5.5,9.4,64.3
1983-10-01,100.8,2.8,8.8,4.9,9.5,64.0
1983-11-01,101.1,3.2,8.5,4.6,9.3,64.1
1983-12-01,101.4,3.8,8.3,4.5,9.5,64.1
1984-01-01,102.1,4.3,8.0,5.4,9.6,63.9
1984-02-01,102.6,4.7,7.8,5.2,9.6,64.1
1984-03-01,102.9,4.9,7.8,5.6,9.9,64.1
1984-04-01,103.3,4.6,7.7,5.4,10.3,64.3
1984-05-01,103.5,4.3,7.4,5.4,10.3,64.5
1984-06-01,103.7,4.3,7.2,5.4,11.1,64.6
1984-07-01,104.1,4.3,7.5,6.3,11.2,64.6
1984-08-01,104.4,4.3,7.5,6.1,11.6,64.4
1984-09-01,104.7,4.3,7.3,6.4,11.3,64.4
1984-10-01,105.1,4.3,7.4,6.9,10.0,64.4
1984-11-01,105.3,4.2,7.2,6.4,9.4,64.5
1984-12-01,105.5,4.0,7.3,5.8,8.4,64.6
1985-01-01,105.7,3.5,7.3,5.1,8.4,64.7
1985-02-01,106.3,3.6,7.2,4.8,8.5,64.7
1985-03-01,106.8,3.8,7.2,4.5,8.6,64.9
1985-04-01,107.0,3.6,7.3,5.7,8.3,64.9
1985-05-01,107.2,3.6,7.2,5.0,8.0,64.8
1985-06-01,107.5,3.7,7.4,3.5,7.5,64.6
1985-07-01,107.7,3.5,7.4,4.5,7.9,64.7
1985-08-01,107.9,3.4,7.1,4.3,7.9,64.6
1985-09-01,108.1,3.2,7.1,4.1,7.9,64.9
1985-10-01,108.5,3.2,7.1,4.1,8.0,65.0
1985-11-01,109.0,3.5,7.0,4.2,8.0,64.9
1985-12-01,109.5,3.8,7.0,4.5,8.3,65.0
1986-01-01,109.9,4.0,6.7,4.3,8.1,64.9
1986-02-01,109.7,3.2,7.2,4.5,7.9,65.0
1986-03-01,109.1,2.2,7.2,5.3,7.5,65.1
1986-04-01,108.7,1.6,7.1,5.1,7.0,65.1
1986-05-01,109.0,1.7,7.2,5.0,6.8,65.2
1986-06-01,109.4,1.8,7.2,4.5,6.9,65.4
1986-07-01,109.5,1.7,7.0,3.5,6.6,65.4
1986-08-01,109.6,1.6,6.9,3.4,6.2,65.3
1986-09-01,110.0,1.8,7.0,3.0,5.9,65.4
1986-10-01,110.2,1.6,7.0,2.8,5.8,65.4
1986-11-01,110.4,1.3,6.9,2.7,6.0,65.4
1986-12-01,110.8,1.2,6.6,2.4,6.9,65.3
1987-01-01,111.4,1.4,6.6,2.5,6.4,65.4
1987-02-01,111.8,1.9,6.6,2.3,6.1,65.5
1987-03-01,112.2,2.8,6.6,3.3,6.1,65.5
1987-04-01,112.7,3.7,6.3,2.5,6.4,65.4
1987-05-01,113.0,3.7,6.3,2.1,6.8,65.7
1987-06-01,113.5,3.7,6.2,2.9,6.7,65.5
1987-07-01,113.8,3.9,6.1,2.3,6.6,65.6
1987-08-01,114.3,4.3,6.0,2.6,6.7,65.7
1987-09-01,114.7,4.3,5.9,2.4,7.2,65.5
1987-10-01,115.0,4.4,6.0,3.7,7.3,65.7
1987-11-01,115.4,4.5,5.8,3.4,6.7,65.7
1987-12-01,115.6,4.3,5.7,2.4,6.8,65.7
1988-01-01,116.0,4.1,5.7,2.5,6.8,65.8
1988-02-01,116.2,3.9,5.7,2.9,6.6,65.9
1988-03-01,116.5,3.8,5.7,2.7,6.6,65.7
1988-04-01,117.2,4.0,5.4,2.8,6.9,65.8
1988-05-01,117.5,4.0,5.6,2.9,7.1,65.7
1988-06-01,118.0,4.0,5.4,3.1,7.5,65.8
1988-07-01,118.5,4.1,5.4,2.5,7.8,65.9
1988-08-01,119.0,4.1,5.6,3.2,8.0,66.1
1988-09-01,119.5,4.2,5.4,3.4,8.2,65.9
