Municipality,Population
Flesberg,2781
Lyngen,2743
Hábmer ,2729
Gjemnes,2700
Steigen,2672
Hemsedal,2666
Frosta,2645
Hjelmeland,2643
Bø,2634
Kárásjohka ,2565
Vik,2551
Alvdal,2526
Dovre,2503
Samnanger,2502
Fjord,2492
Nore og Uvdal,2486
Rennebu,2484
Kviteseid,2458
Meråker,2454
Gjerstad,2444
Sande,2438
Siljan,2382
Leirfjord,2352
Grong,2322
Stor,2276
Vegårshei,2268
Krødsherad,2241
Karlsøy,2237
Gulen,2234
Lom,2212
Tokke,2212
Lærdal,2160
Smøla,2159
Skjåk,2141
Snåase ,2114
Båtsfjord,2113
Vestre Slidre,2112
Salangen,2069
Lødingen,2060
Holtålen,2035
Lesja,1983
Sømna,1976
Gáivuotna ,1974
Vardø,1972
Gildeskål,1958
Rindal,1958
Os,1891
Lurøy,1886
Sirdal,1873
Sørfold ,1858
Herøy (Nordland),1842
Rendalen,1837
Storfjord ,1825
Nesna,1808
Åmli,1802
Aurland,1800
Hægebostad,1776
Masfjorden,1694
Vang,1645
Hjartdal,1630
Tolga,1604
Folldal,1532
Nissedal,1471
Grane,1447
Dønna,1427
Bindal,1399
Rollag,1395
Iveland,1380
Etnedal,1366
Engerdal,1361
Aremark,1347
Evenes ,1330
Ibestad,1311
Lierne,1301
Aarborte ,1284
Hyllestad,1268
Fyresdal,1256
Flakstad,1229
Høylandet,1222
Lebesby,1215
Vega,1208
Valle,1205
Bygland,1180
Kvænangen,1157
Rødøy,1139
Flatanger,1116
Flå,1115
Måsøy,1113
Ulvik,1089
Dyrøy,1073
Gamvik,1070
Gratangen ,1070
Beiarn,1062
Bykle,1011
Loabák ,986
Hasvik,979
Eidfjord,968
Moskenes,954
Åseral,923
Osen,898
Berlevåg,892
Bokn,883
Loppa,864
Unjárga ,859
Namsskogan,810
Tydal,773
Solund,750
Værøy,683
Leka,604
Kvitsøy,544
Fedje,519
Vevelstad,480
Røst,460
Træna,442
Raarvihke ,423
Modalen,384
Utsira,215
